Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
2/5/2019,12:27:06,448,0,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:06,635,1,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:06,853,2,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:07,40,3,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:07,243,4,12,12,12,12,16,16,17,15,13,14,13,13
2/5/2019,12:27:07,446,5,12,12,12,12,16,16,17,15,13,14,13,13
2/5/2019,12:27:07,649,6,12,12,12,12,16,16,16,15,13,14,13,13
2/5/2019,12:27:07,852,7,12,12,12,12,16,15,17,16,13,14,13,13
2/5/2019,12:27:08,54,8,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:08,257,9,12,12,12,12,16,15,17,15,13,14,13,13
2/5/2019,12:27:08,460,10,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:08,647,11,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:08,866,12,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:09,53,13,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:09,256,14,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:09,458,15,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:09,677,16,12,12,12,12,16,16,17,15,13,14,13,13
2/5/2019,12:27:09,864,17,12,12,12,12,16,16,16,15,13,14,13,13
2/5/2019,12:27:10,51,18,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:10,270,19,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:10,472,20,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:10,691,21,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:10,878,22,12,12,12,12,16,15,16,16,13,14,13,13
2/5/2019,12:27:11,65,23,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:11,268,24,12,12,12,12,16,16,17,15,13,14,13,13
2/5/2019,12:27:11,471,25,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:11,689,26,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:11,876,27,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:12,79,28,12,12,12,12,16,16,17,15,13,14,13,13
2/5/2019,12:27:12,266,29,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:12,485,30,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:12,688,31,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:12,890,32,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:13,93,33,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:13,280,34,12,12,12,12,16,15,17,16,13,14,13,13
2/5/2019,12:27:13,483,35,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:13,686,36,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:13,889,37,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:14,92,38,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:14,279,39,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:14,497,40,12,12,12,12,16,15,17,16,13,14,13,13
2/5/2019,12:27:14,700,41,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:14,903,42,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:15,106,43,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:15,293,44,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:15,496,45,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:15,698,46,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:15,901,47,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:16,104,48,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:16,322,49,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:16,510,50,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:16,712,51,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:16,900,52,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:17,118,53,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:17,305,54,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:17,508,55,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:17,711,56,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:17,914,57,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:17,992,58,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:18,194,59,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:18,397,60,12,12,12,12,16,16,16,16,13,14,13,13
2/5/2019,12:27:18,600,61,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:18,803,62,12,12,12,12,16,16,17,16,13,14,13,13
2/5/2019,12:27:19,6,63,12,12,12,12,16,16,17,16,13,14,13,13
